    INT     ,    FLOAT     ,    FLOAT     ,     FLOAT     ,      FLOAT      ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,              FLOAT              ,     FLOAT     ,    FLOAT     ,        FLOAT         ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       ,     FLOAT     ,     FLOAT     ,    FLOAT     ,    FLOAT     ,    FLOAT     ,      FLOAT       ,      FLOAT       , BOOL  , BOOL ,     BOOL      ,        INT        ,     INT      ,        INT        ,     INT      , INT  
     -      ,     Msol     ,     Msol     ,      AU       ,        -        ,                -                ,       -       ,      -       ,          -           ,                -                ,       -       ,      -       ,          -           ,    yr^-1     ,    yr^-1     ,      kms^-1      ,      kms^-1      ,    kms^-1     ,    kms^-1     ,      -       ,      -       ,      -       ,        -         ,        -         , State ,Event ,     Event     ,         -         ,      -       ,         -         ,      -       ,  -   
    SEED    , Mass@ZAMS_1  , Mass@ZAMS_2  ,Separation@ZAMS,Eccentricity@ZAMS,SN_Kick_Magnitude_Random_Number_1,SN_Kick_Theta_1,SN_Kick_Phi_1 ,SN_Kick_Mean_Anomaly_1,SN_Kick_Magnitude_Random_Number_2,SN_Kick_Theta_2,SN_Kick_Phi_2 ,SN_Kick_Mean_Anomaly_2, Omega@ZAMS_1 , Omega@ZAMS_2 ,Sigma_Kick_CCSN_NS,Sigma_Kick_CCSN_BH,Sigma_Kick_ECSN,Sigma_Kick_USSN,LBV_Multiplier,WR_Multiplier ,   CE_Alpha   ,Metallicity@ZAMS_1,Metallicity@ZAMS_2,Unbound,Merger,Merger_At_Birth,Stellar_Type@ZAMS_1,Stellar_Type_1,Stellar_Type@ZAMS_2,Stellar_Type_2,Error 
          47,  1.000000e+00,  3.000000e+00,   2.844159e-01,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,                     9.946114e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            10,     0
          48,  1.000000e+00,  3.000000e+00,   1.174792e-01,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  5.543657e-01,          9.946114e-01,                     9.946114e-01,   5.543656e-01,  5.543657e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,            10,                  1,            11,     0
          49,  1.000000e+00,  3.000000e+00,   1.599034e+00,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,             8,     0
          50,  1.000000e+00,  3.000000e+00,   9.514952e+00,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          51,  1.000000e+00,  3.000000e+00,   5.045749e+01,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
          52,  1.000000e+00,  3.000000e+00,   1.960836e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  9.946114e-01,          5.543657e-01,                     9.946114e-01,   9.946113e-01,  9.946114e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
          53,  1.000000e+00,  3.000000e+00,   2.435845e+02,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,                     9.946114e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
          54,  1.000000e+00,  3.000000e+00,   4.794374e+00,     0.000000e+00,                     5.543657e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,                     9.946114e-01,   9.946113e-01,  5.543657e-01,          5.543657e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.100000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            11,     0
          55,  1.000000e+00,  3.000000e+00,   2.357399e-01,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  5.543657e-01,          9.946114e-01,                     9.946114e-01,   5.543656e-01,  5.543657e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.200000e+00,      2.000000e-02,      2.000000e-02,0,1,0,                  1,            15,                  1,            10,     0
          56,  1.000000e+00,  3.000000e+00,   8.645048e+02,     0.000000e+00,                     5.543657e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,                     9.946114e-01,   5.543656e-01,  9.946114e-01,          9.946114e-01,  0.000000e+00,  0.000000e+00,      2.500000e+02,      2.500000e+02,   3.000000e+01,   3.000000e+01,  0.000000e+00, -3.608549e+02,  1.000000e+00,      2.000000e-02,      2.000000e-02,0,0,0,                  1,             1,                  1,            15,     0
